no,nama_perusahaan,kelurahan,alamat,jenis_usaha,jml_karyawan,thn_berdiri
233,Bima Indah,NA,Cimindi Utara RT.01/05,oven,asbak,4
234,NA,NA,Cimindi Utara RT.01/05,oven,asbak,plat no
235,Bima Satria,NA,Bojong Koneng RT.04/06,Oven,3,1979
236,Columbus,NA,Babakan Cianjur RT.02/07,oven,citel,katel
237,NA,NA,Asrama Kipal RT.05/04,oven dan buleng,2,1991
238,Galunggung,NA,Bbk.Cianjur 60 RT.05/07,krupuk,7,1991
239,Tempe Soy,NA,Bbk.  Cianjur  RT.06/07,tempe,mendoan,6
240,Excellent World,NA,Jl.Paledang 297B Rt. 05/02,Handle pintu,3,2011
241,Class Product,NA,RT.05/02,NA,NA,NA
242,NA,NA,Babakan Hegar RT.03/03,Mur sangkar burung,7,2012
243,NA,NA,Bbk. Cibeureum RT.06/01,Pindang ikan,4,1990
244,NA,NA,Bbk. Cibeureum RT.03/01,Rangginang,2,2000
245,An'nisa,NA,Bbk. Cianjur 81 RT.01/07,Roti,kue,5
246,NS,NA,Paledang RT.04/02,Telur asin,3,1985
247,NA,NA,Babakan Cianjur RT.03/07,Krupuk kulit sapi,3,2003
248,Karya Asih,NA,Babakan Cianjur RT.06/07,Pindang Presto,2,2012
249,Imel/Inka,NA,Babakan Cianjur RT.03/07,Roti kacang/bapia,4,2002
250,NA,NA,Jl.Raya Cibeureum Rt. 01/05,Kue basah,roti,5
251,NA,NA,Sapta Marga RT.02/04,Kue basah,2,2000
252,Toez Gallery,NA,Jl.Katalina I RT.01/03,Asesoris dari bahan aqrilik,15,2012
253,Depot Isi Ulang Ulfa,NA,Gg.Bp.Ohe 146 RT.05/05,Air Isi ulang dan jualan gas,3,2012
254,Depot isi ulang,NA,Bbk.Cianjur RT.02/07,Air Isi ulang,2,2007
255,NA,NA,Bbk.Cianjur RT.05/02,pangkalan gas,2,2007
256,PT.BABUN DJAYA ASIA,DUNGUSCARIANG,JL.NURTANIO 63,USAHA PERDAGANGAN,10 ORANG,2000
257,PT. GRITITH ANUGRAH,NA,JL.NURTANIO 63,PENGOLAHAN AYAM DAN MAKANAN,4 ORANG,NA
258,LAKBAN,NA,JL.NURTANIO,LAKBAN,10 ORANG,NA
259,MULTI BERKAH PANGAN,NA,JL.NURTANIO  41,DISTRIBUTOR SAOS DAN KACANG,8 ORANG,NA
260,PT.DAM KARYA CAFE PRIMA,NA,JL.GARUDA NO.39 RT07/RW03,CAFE,5 ORANG,2014
261,PT.SURGA ENERGI NUSANTARA,NA,JL.NURTANIO NO.51 RT09/02,PERDAGANGAN UMUM,8 ORANG,2013
262,AA PLASTIK,NA,JL.NURTANIO,NA,100 ORANG,NA
263,PT.KIKKODIDAT INDONESIA,NA,JL.GARUDA NO.15,PERDAGANGAN DAN JASA,10 ORANG,NA
264,DEPO SEGAR,NA,JL.RAJAWALI TIMUR 320 A,PERDAGANGAN,6 ORANG,NA
265,CV.BUANA PRATAYASA PROSPERINDO,NA,JL.RAJAWALI TIMUR 121,PERDAGANGAN UMUM DAN TEKSTIL,7 ORANG,2010
266,PT BENTOEL,NA,JL.RAJAWALI TIMUR 170,DISTRIBUTOR UTAMA,5 ORANG,2012
267,CV.AUTOGRAID,NA,JL.RAJAWALI TIMUR 168,PERDAGANGAN DAN JASA,20 ORANG,NA
268,SUMAJAYA GAS,NA,JL.RAJAWALI TIMUR 187 RT09/07,AGEN GAS,2 ORANG,NA
"269,PT.RAJAWALI SAKTI MEDIKA MANDIRI,,J;.RAJAWALI SAKTI PERMAI RT08/01,PERDAGANGAN DAN JASA,20 ORANG,",NA,NA,NA,NA,NA,NA
270,PT. GITA PERSADA,NA,JL.RAJAWALI SAKTI NO.35,PERCETAKAN,8 ORANG,2011
271,PD TALI SANDANG,NA,JL.CIROYOM  RT 05/11,TALI SEPATU,NA,NA
272,PATA METAL,NA,JL.CIROYOM  RT 05/11,PLAT,STENLES,NA
273,PB.ABADI,NA,JL.CIROYOM 117,MATERIAL,4 ORANG,NA
274,PT.INTI SAKKA MANDIRI,NA,JL.CIROYOM GG.IKHLAS 32/77,PERDAGANGAN DAN JASA,4 ORANG,2002
275,CV RIZKI PUTRA,NA,JL.ANDIR 121/77 RT01/10,PERDAGANGAN DAN JASA,2 ORANG,2013
276,SAMANAN SUMAJAYA,NA,JL.SUDIRMAN 600,RAJUT,7 ORANG,NA
277,CV SUBER ABADI SENTOSA,NA,JL.SUDIRMAN564,GROSIR ROKOK,3 ORANG,2014
278,PT.MESAT INDO GLOBAL,NA,JL.JEND SUDIRMAN 624,PERDAGANGAN BARANG JASA,3 oRANG,2014
279,CV.INPIRA VENTURA,NA,JL.JEND SUDIRMAN 520,JUAL BELI  PAKAIAN JADI,3 ORANG,NA
280,PT MULTI DAYA TEKNOLOGI NUSANTARA,NA,JL.JEND SUDIRMAN NO.594,JASA PERDAGANGAN UMUM TEKNOLOGI,5 ORANG,NA
281,PT.TUNGGAL KAHURIPAN,NA,JL.JEND SUDIRMAN NO.570,INDUSTRI MAKANAN,100 ORANG,1962
282,CV,STH SEVICE,NA,JL.SUDIRMAN 546 RT01/08,PELAYANAN/JASA PENGELOLAAN STH,16 ORANG
283,CD.TAMBAN DANU CIPTA MANDIRI,NA,JL.HALTEU UTARA 37 RT07/02,PERDAGANGAN DAN JASA,51 ORANG,2013
284,CV.DANU MAS APPARET,NA,JL.HALTEU SELATAN 14/76,PERDAGANGAN UMUN DAN TEKSTIL,10 ORANG,2010
285,CV.UNI ENGINERING,NA,JL,HALTEU SELATAN I NO.59,PERDAGANGAN BARANG JASA,2 ORANG
286,PT.MULTI KARYA RAJAWALI,NA,JL. HALTEU SELATAN I NO.59,PERDAGANGAN DAN JASA,3 ORANG,2014
287,PD.DUNIA BINTANG,NA,JL. HALTEU SELATAN I NO.66,PERDAGANGAN ELEKTRONIK.ALAT RUMAH TANGGA DAN LISTRIK,3 ORANG,NA
288,CV.SANTOSA,NA,JL.ANDIR GG KBN SAWO RT01/10,GUDANG BAN,25 ORANG,NA
289,SANTO PLASTIK,NA,JL.CIROYOM  RT02/10,PLASTIK,75 ORANG,NA
290,PT.LOGAM FATA JAYA,NA,JL.CIROYOM 125/77,BENGKEL POTONG/TEKUNG PLAT,45 ORANG,NA
291,CV.SINAR DINAMIKA NIAGATAMA,NA,JL.HALTEU UTARA NO 19,PERDAGANGAN UMUM,3 ORANG,NA
292,CV.SINAR  RAJAWALI,NA,JL.RAJAWALI SAKTI NO.1 RT08/01,PERDAGANGAN,JASA.PENDISTRIBUSIAN,5 ORANG
293,FAJAR UTAMA ELEKTRONIK,NA,JL.HALTEU UTARA O3/01,BENGKEL ELEKTRONIK,1 ORANG,NA
294,PT.JUJUR PARAMARTA,NA,JL.JEND.SUDIRMAN 560,PENYALURAN BAHAN BAKAR,5 ORANG,NA
295,DEPO SEGAR,NA,JL.RAJAWALI TIMUR 320 A,PERDAGANGAN,6 ORANG,NA
296,CV.BUANA PRATAYASA PROSPERINDO,NA,JL.RAJAWALI TIMUR 121,PERDAGANGAN UMUM DAN TEKSTIL,7 ORANG,2010
297,CV.AUTOGRAID,NA,JL.RAJAWALI TIMUR 168,PERDAGANGAN DAN JASA,20 ORANG,NA
298,SUMAJAYA GAS,NA,JL.RAJAWALI TIMUR 187 RT09/07,AGEN GAS,2 ORANG,NA
299,PD TALI SANDANG,NA,JL.CIROYOM  RT 05/11,TALI SEPATU,NA,NA
300,PB.ABADI,NA,JL.CIROYOM 117,MATERIAL,4 ORANG,NA
301,CV RIZKI PUTRA,NA,JL.ANDIR 121/77 RT01/10,PERDAGANGAN DAN JASA,2 ORANG,2013
302,SAMANAN SUMAJAYA,NA,JL.SUDIRMAN 600,RAJUT,7 ORANG,NA
303,CV SUBER ABADI SENTOSA,NA,JL.SUDIRMAN564,GROSIR ROKOK,3 ORANG,2014
304,CV.INPIRA VENTURA,NA,JL.JEND SUDIRMAN 520,JUAL BELI  PAKAIAN JADI,3 ORANG,NA
305,CV,STH SEVICE,NA,JL.SUDIRMAN 546 RT01/08,PELAYANAN/JASA PENGELOLAAN STH,16 ORANG
306,CD.TAMBAN DANU CIPTA MANDIRI,NA,JL.HALTEU UTARA 37 RT07/02,PERDAGANGAN DAN JASA,51 ORANG,2013
307,CV.DANU MAS APPARET,NA,JL.HALTEU SELATAN 14/76,PERDAGANGAN UMUN DAN TEKSTIL,10 ORANG,2010
308,CV.UNI ENGINERING,NA,JL,HALTEU SELATAN I NO.59,PERDAGANGAN BARANG JASA,2 ORANG
309,PD.DUNIA BINTANG,NA,JL. HALTEU SELATAN I NO.66,PERDAGANGAN ELEKTRONIK.ALAT RUMAH TANGGA DAN LISTRIK,3 ORANG,NA
310,CV.SANTOSA,NA,JL.ANDIR GG KBN SAWO RT01/10,GUDANG BAN,25 ORANG,NA
311,CV.SINAR DINAMIKA NIAGATAMA,NA,JL.HALTEU UTARA NO 19,PERDAGANGAN UMUM,3 ORANG,NA
312,CV.SINAR  RAJAWALI,NA,JL.RAJAWALI SAKTI NO.1 RT08/01,PERDAGANGAN,JASA.PENDISTRIBUSIAN,5 ORANG
313,FAJAR UTAMA ELEKTRONIK,NA,JL.HALTEU UTARA O3/01,BENGKEL ELEKTRONIK,1 ORANG,NA
314,NA,NA,JL.HALTEU UTARA RT/03/RW.01,TAS SEKOLAH,NA,2005
315,NA,NA,JL.HALTEU UTARS RT05/RW01,JAS HUJAN,NA,1998
316,NA,NA,JL.HALTEU UTARA RT.05/RW01,PEMBUATAN JAS HUJAN,2 ORANG,1994
317,NA,NA,JL.HALTEU UTARA RT.05/RW.01,INSTRUMEN ELEKTRIK,3 ORANG,2008
318,NA,NA,JL.HALTEU UTARA RT.05/RW.01,PEMBUATAN FILTER,30 ORANG,1994
319,NA,NA,JL.HALTEU UTARA RT.05/RW.01,ES KRIM,5 ORANG,1990
320,NA,NA,JL.HALTEU UTARA RT.04/RW.01,KONVEKSI JEAN,5 ORANG,1990
321,NA,NA,JL.HALTEU UTARA RT.04/RW02,KUE BASAH,NA,2000
322,NA,NA,JL.HALTEU UTARA RT.07/RW.01,JAMU,NA,1984
323,NA,NA,JL.HALTEU UTARA RT.10/RW.02,JAKET,5 ORANG,1998
324,NA,NA,JL.HALTEU UTARA RT.06/RW02,TALIKUR,NA,1997
325,NA,NA,JL.HALTEU UTARA RT02/RW02,KREASI BATIK,2 O RANG,2012
326,NA,NA,JL.HALTEU UTARA RT.11/RW.02,KUE BASAH,NA,2000
327,NA,NA,JL.HALTEU UTARA RT.07/RW.02,KUE BASAH,NA,2000
328,NA,NA,JL.HALTEU UTARA RT.03/RW.02,KONVEKSI,3 ORANG,1996
329,NA,NA,JL.HALTEU UTARA RT.03/02,JAKET,3 ORANG,1990
330,NA,NA,JL.HALTEU UTARA RT,07/RW02,KRIPIK SINGKONG,2 ORANG
331,NA,NA,JL.HALTEU UTARA RT01/RW.02,BASO SAPI,NA,1990
332,NA,NA,JL.HALTEU UTARA RT07/RW02,BASO SAPI,NA,1995
333,NA,NA,JL.HALTEU UTARA RT04/RW.02.,BASO SAPI,NA,1990
334,NA,NA,JL.HALTEU UTARA RT06/RW02,BENGKEL SEPEDA UNIK,BENGKEL SEPEDA UNIK,2000
335,NA,NA,JL.HALTEU UTARA RT.02/RW02,PEMBUATAN TEMPE,NA,1984
336,PN. 43,NA,JL.DUNGUSCARIANG RT.06/RW.04,SANDAL,2 ORANG,1990
337,NA,NA,JL.DUNGUSCARIANG RT.06/RE04,BATAGOR,NA,1995
338,NA,NA,JL.DUNGUSCARIANG RT.06/RW04,JAKET,10 ORANG,2000
339,NA,NA,JL.DUNGUSCARIANG RT.04/RW.04,JOK MOTOR,2 ORANG,2004
340,NA,NA,JL.DUNGUSCARIANG RT03/RW.05,JAMU,NA,1994
341,NA,NA,JL.DUNGUSCARIANG RT01/RW.05,BASO SAPI,NA,1995
342,NA,NA,JL.DUNGUSCARIANG RT.04/RW05,JAKET,3 ORANG,1996
343,PASUTRI,NA,JL.DUNGUSCARIANG RT.10/RW.04,KRIPIK SINGKONG,NA,2010
344,NA,NA,JL.DUNGUSCARIANG RT.01/RW05,BASO SAPI/IKAN,NA,2000
345,NA,NA,JL.DUNGUSCARIANG RT.03/RW.05,BATAGOR,NA,1999
346,NA,NA,JL.DUNGUSCARIANG RT.07/RW.05,PERCETAKAN,NA,2001
347,NA,NA,JL.DUNGUSCARIANG RT.03/RW05,BAWANG GORENG,NA,1990
348,AREMA,NA,RA.BARNAS RT.04/RW.06,BASO SAPI,5 ORANG,1995
349,NA,NA,RA.BARNAS RT.02/RW.06,KONVEKSI  KAOS,NA,1996
350,NA,NA,RA.BARNAS RT.05/RW.06,KAOS,NA,2000
351,NA,NA,RA.BARNAS RT.04/RW.06,BATAGOR,NA,2000
352,NA,NA,RA.BARNAS RT.04/RW.06,MPEK-MPEK,NA,2001
353,NA,NA,RA.BARNAS RT.04/RW.06,RANGINANG,NA,2002
354,NA,NA,RA.BARNAS RT.02/RW.06,PINDANG,NA,2004
355,NA,NA,JL.DUNGUSCARIANG RT.07/RW.07,KONVEKSI,3 ORANG,2002
356,NA,NA,JL.DUNGUSCARIANG RT.05/RW.07,ASSESORIS RUMAH TANGGA,3 ORANG,1995
357,NA,NA,JL.DUNGUSCARIANG RT.02/RW.07,GESPER,10 ORANG,1992
358,NA,NA,JL.DUNGUSCARIANG RT.02/RW.07,ASSESORIS PLASTIK,1 ORANG,1999
359,NA,NA,JL.DUNGUSCARIANG RT.02/RW.07,ASSESORIS PLASTIK,10 ORANG,1990
360,NA,NA,JL.DUNGUSCARIANG RT.05/RW.07,ASSESORIS BAJU,NA,2014
361,NA,NA,RI.WINATA RT.03/RW.08,ROTI,NA,NA
362,NA,NA,RI.WINATTA RT04/RW08,KUE BASAH,NA,2000
363,NA,NA,RI.WINATTA RT04/RW08,KUE BASAH,NA,2000
364,NA,NA,RI.WINATA RT.03/RW.08,ROTI,20 ORANG,NA
365,NA,NA,RI.WINATA RT.07/RW.08,ROTI,NA,2000
366,NA,NA,RAJAWALI TIMUR RT03/RW09,TAS,3 ORANG,2001
367,NA,NA,JL.KEBON SAWO RT03/RW.10,TAS,1 ORANG,1990
368,NA,NA,JL.KEBON SAWO RT03/RW.10,TAS,2 ORANG,1995
369,NA,NA,JL.KEBON SAWO RT03/RW.10,TAS,E ORANG,2000
370,NA,NA,JL.KEBON SAWO RT03/RW.10,TAS,2 ORANG,1994
371,NA,NA,JL.KEBON SAWO,BAKSO,2 ORANG,1990
372,NA,NA,JL.KEBON SAWO RT.05/RW10,BASO SAPI,NA,2001
373,NA,NA,JL.KEBON SAWO RT.03/RW.10,BATADOR,NA,2004
374,NA,NA,JL.KEBON SAWO RT.03/RW.10,PINDANG,NA,1986
375,NA,NA,JL.KEBON SAWO RT.03/RW.10,PINDANG,NA,1998
376,NA,NA,JL.KEBON SAWO RT.03/RW.10,TAS,NA,2000
377,NA,NA,JL.KEBON SAWO RT.03/RW.10,MPEK-MPEK,NA,1990
378,NA,NA,JL.KEBON SAWO RT03/RW.10,TAS,2 ORANG,1990
379,NA,NA,JL.HALTEU UTARA RT.06/RW.11,BASO TAHU,NA,2000
380,NA,NA,JL.CIROYOM RT08/11,KONVEKSI KAOS,3 ORANG,1998
381,NA,NA,JL.CIROYOM RT03/11,SURABI,NA,2000
382,NA,NA,JL.CIROYOM RT03/11,BASO,NA,2003
383,NA,NA,JL.CIROYOM RT03/11,BASO,NA,2001
384,NA,NA,JL.CIROYOM RT03/11,TAHU GEJROT,NA,2004
385,NA,NA,JL.CIROYOM RT03/11,DONAT,NA,2005
386,NA,NA,JL.CIROYOM RT02/11,BASO TAHU,NA,1996
387,NA,NA,JL.CIROYOM RT01/11,SISTIK,NA,2004
388,NA,NA,JL.CIROYOM RT07/11,BOLU,NA,2006
389,NA,NA,JL.CIROYOM RT08/11,PISANG HIJO,NA,2009
390,NA,NA,JL.HALTEU UTARA RT02/RW01,SEMBAKO,NA,2000
391,NA,NA,JL.HALTEU UTARA RT044/RW01,SEMBAKO,NA,1998
392,NA,NA,JL.HALTEU UTARA RT03/RW01,SEMBAKO,NA,1995
393,NA,NA,JL.HALTEU UTARA RT04/RW01,SEMBAKO,NA,2000
394,NA,NA,JL.HALTEU UTARA RT04/RW01,SEMBAKO,NA,1998
395,NA,NA,JL.HALTEU UTARA RT06/RW01,SEMBAKO,NA,1997
396,NA,NA,JL.HALTEU UTARA RT06/RW01,SEMBAKO,NA,1999
397,NA,NA,JL.HALTEU UTARA RT07/RW01,SEMBAKO,NA,2000
398,NA,NA,JL.HALTEU UTARA RT08/RW01,SEMBAKO,NA,1998
399,NA,NA,JL.HALTEU UTARA RT03/RW01,SEMBAKO,NA,2000
400,NA,NA,JL.HALTEU UTARA RT03/RW01,SEMBAKO,NA,2001
401,BASO TEGA LEGA,NA,JL.CIROYOM RT01/RW.02,WARUNG BASO,NA,2002
402,TOKO NANI,NA,JL.CIROYOM RT01/RW.02,TOKO KUE,NA,200
403,TOKO PUTRA JAYA,NA,JL.CIROYOM RT01/RW.02,SEMBAKO,NA,2004
404,TOKO NANJUNG,NA,JL.CIROYOM RT01/RW.02,SEMBAKO,NA,2000
405,TOKO LAKSANA JAYA,NA,JL.CIROYOM RT01/RW.02,TOKO  BESI,NA,2000
406,TOKO NOVA,NA,JL.HALTEU UTARA RT03/RW01,SEMBAKO,NA,2000
407,NA,NA,JL.HALTEU UTARA RT06/RW01,SEMBAKO,NA,2001
408,NA,NA,JL.HALTEU SELATAN RT.01/03,SEMBAKO,NA,1983
409,NA,NA,JL.HALTEU SELATAN RT.01/03,SEMBAKO,NA,2013
410,NA,NA,JL.HALTEU SELATAN RT.02/03,SEMBAKO,NA,2013
411,NA,NA,JL.HALTEU SELATAN RT.03/03,SEMBAKO,NA,1995
412,NA,NA,JL.HALTEU SELATAN RT.04/03,SEMBAKO,NA,2000
413,NA,NA,JL.HALTEU SELATAN RT.04/03,SEMBAKO,NA,2012
414,TOKO BESI HS,NA,JL.HALTEU SELATAN RT.05/03,TOKO BESI,NA,1990
415,NA,NA,JL.HALTEU SELATAN RT.05/03,SEMBAKO,NA,1994
416,TOKO SEPATU BAIM,NA,JL.HALTEU SELATAN RT.05/03,TOKO SEPATU,2 ORANG,1998
417,NA,NA,JL.DUNGUSCARIANG RT.06/04,SEMBAKO,1.0RANG,2000
418,NA,NA,JL.DUNGUSCARIANG RT.06/04,SEMBAKO,NA,1994
419,NA,NA,JL.DUNGUSCARIANG RT.06/04,SEMBAKO,NA,2000
420,NA,NA,JL.DUNGUSCARIANG RT.04/05,SEMBAKO,NA,2001
421,NA,NA,JL.DUNGUSCARIANG RT.04/05,SEMBAKO,NA,1983
422,NA,NA,JL.DUNGUSCARIANG RT.07/05,SEMBAKO,NA,2013
423,NA,NA,JL.DUNGUSCARIANG RT.07/05,SEMBAKO,NA,2013
424,NA,NA,JL.DUNGUSCARIANG RT.08/05,SEMBAKO,NA,1992
425,NA,NA,JL.DUNGUSCARIANG RT.06/05,SEMBAKO,NA,1990
426,NA,NA,JL.DUNGUSCARIANG RT.06/05,SEMBAKO,NA,1980
