name,description,url,filename
Data Usulan Musrenbang Kecamatan Bojongloa Kidul Tahun 2017,Data ini berisi kolom : * USULAN_ID : ID Usulan musrenbang * TIPE: Tipe Usulan (Renja/PIPPK) * LOKASI_WILAYAH: Lokasi Wilayah pengusul * LOKASI_KECAMATAN: Lokasi Kecamatan pengusul * LOKASI_KELURAHAN: Lokasi Kelurahan pengusul * LOKASI_RW: Lokasi RW pengusul * KELOMPOK_ISU: Kelompok isu usulan * ISU: Isu Usulan * KAMUS: Kamus usulan * STATUS_USULAN: Status usulan (Ditolak/Diterim) * TAHAPAN_TERAKHIR: Tahapan terakhir usulan * VOLUME: Volume usulan * SATUAN: Satuan usulan * JENIS_PENGUSUL: Jenis pengusul * TOTAL: Total anggaran usulan * URGENSI: Deskripsi usulan * HARGASATUAN: Harga satuan usulan * SKPD: SKPD termohon untuk mengeksekusi usulan * ALAMAT: Alamat usulan * MAP_LONG: Longitude lokasi usulan * MAP_LAT: Latitude lokasi usulan,http://data.bandung.go.id/dataset/075d3cdd-91c0-4fa4-b80a-d74a91eb6995/resource/51f821a5-f34c-4a74-92f6-bece6b27299d/download/data-usulan-musrenbang-kecamatan-bojongloa-kidul-2017.csv,usulan_musrenbang_kecamatan_bojongloa_kidul_tahun_2017.csv
Data Jumlah PKL Berdasarkan Jarak Lokasi Usaha Menurut Kecamatan Tahun 2014-2015,Data ini berisi kolom : * Nama Kecamatan * Relatif Dekat * Relatif Jauh,http://data.bandung.go.id/dataset/07d83183-e7eb-45cc-84fc-d10efccdd2eb/resource/d86397d3-933f-4493-a0f3-c9a76eaf134d/download/data-jumlah-pkl-berdasarkan-jarak-lokasi-usaha-2014-2015.csv,jumlah_pkl_berdasarkan_jarak_lokasi_usaha_menurut_kecamatan_tahun_20142015.csv
Data Penanaman Pohon di Kecamatan Arcamanik Tahun 2015,Dataset ini berisi mengenai data penanaman pohon yang berada di wilayah Kecamatan Arcamanik pada tahun 2015,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/425/805/data-penanaman-pohon-kec.arcamanik-2015.csv,penanaman_pohon_di_kecamatan_arcamanik_tahun_2015.csv
Data Rata-rata Produksi Sampah di Kota Bandung Tahun 2017,Data ini berisi kolom : * Sumber * Produksi Sampah (ton),http://data.bandung.go.id/dataset/08434bde-58c5-4355-8d88-b779a278aa32/resource/95bcdbc2-6f0b-4bf0-8958-87ebe946cf77/download/rata-rata-produksi-sampah-di-kota-bandung-tahun-2017.csv,ratarata_produksi_sampah_di_kota_bandung_tahun_2017.csv
Data Serapan Anggaran Dinas Kebudayaan dan Pariwisata Tahun 2017,Data ini berisi kolom : * SKPD * Program * Kegiatan * Anggaran * Realisasi * Persentase_serapan * Tahun * Catatan,http://data.bandung.go.id/dataset/08855316-9b8d-4d3b-9aae-2403f9893ef8/resource/5b407132-24f8-48ab-b7d5-95f4740d3953/download/lkpjdinas-kebudayaan-dan-pariwisata2017.csv,serapan_anggaran_dinas_kebudayaan_dan_pariwisata_tahun_2017.csv
"Data Kependudukan Berdasarkan Kelahiran, Mati, Pindah dan Datang di Kecamatan Antapani Tahun 2016","Dataset ini berisi mengenai data kependudukan berdasarkan kelahiran, kematian, pindah dan datang ke Kecamatan Arcamanik Kota Bandung per bulan Februari Tahun 2016",https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/d5e/c1a/data-kependudukan-berdasarkan-lahirmatipindah-datang-kec.antapani-per-februari-2016.csv,kependudukan_berdasarkan_kelahiran_mati_pindah_dan_datang_di_kecamatan_antapani_tahun_2016.csv
Data Serapan Anggaran Kecamatan Ujungberung Tahun 2013,Data ini berisi kolom : * SKPD * Program * Kegiatan * Anggaran * Realisasi * Persentase_serapan * Tahun * Catatan,http://data.bandung.go.id/dataset/08aca91f-f6ba-4cbc-aa35-488f1573a026/resource/62f14c52-4042-4b52-858a-1bc2c39b730e/download/lkpjkecamatan-ujungberung2013.csv,serapan_anggaran_kecamatan_ujungberung_tahun_2013.csv
Data Usulan Musrenbang Kecamatan Cidadap Tahun 2017,Data ini berisi kolom : * USULAN_ID : ID Usulan musrenbang * TIPE: Tipe Usulan (Renja/PIPPK) * LOKASI_WILAYAH: Lokasi Wilayah pengusul * LOKASI_KECAMATAN: Lokasi Kecamatan pengusul * LOKASI_KELURAHAN: Lokasi Kelurahan pengusul * LOKASI_RW: Lokasi RW pengusul * KELOMPOK_ISU: Kelompok isu usulan * ISU: Isu Usulan * KAMUS: Kamus usulan * STATUS_USULAN: Status usulan (Ditolak/Diterim) * TAHAPAN_TERAKHIR: Tahapan terakhir usulan * VOLUME: Volume usulan * SATUAN: Satuan usulan * JENIS_PENGUSUL: Jenis pengusul * TOTAL: Total anggaran usulan * URGENSI: Deskripsi usulan * HARGASATUAN: Harga satuan usulan * SKPD: SKPD termohon untuk mengeksekusi usulan * ALAMAT: Alamat usulan * MAP_LONG: Longitude lokasi usulan * MAP_LAT: Latitude lokasi usulan,http://data.bandung.go.id/dataset/08f61e76-8511-4c37-9c68-8d195ac6ebae/resource/4f51b042-922d-47fd-8b9b-46ca2c8f2cab/download/data-usulan-musrenbang-kecamatan-cidadap-2017.csv,usulan_musrenbang_kecamatan_cidadap_tahun_2017.csv
Data Kendaraan Operasional Sampah Wilayah Bandung Barat Tahun 2015,Dataset Kendaraan Operasional Sampah Wilayah Bandung Tahun 2015,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/e5b/44b/data-kendaraan-operasional-sampah-tahun-2015-wilayah-bandung-barat.csv,kendaraan_operasional_sampah_wilayah_bandung_barat_tahun_2015.csv
Data Posyandu di Kelurahan Rancanumpang Kecamatan Gedebage,Dataset ini berisi mengenai jumlah data posyandu yang berlokasi di wilayah Kelurahan Rancanumpang Kecamatan Gedebage Kota Bandung,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/66b/9b1/data-posyandu-kel.rancanumpang.csv,posyandu_di_kelurahan_rancanumpang_kecamatan_gedebage.csv
